工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
数据分析师—互联网运营方向,共创方程式企业管理,500-2000人,教育,不需要融资,"年底双薪,定期体检,绩效奖金,带薪年假",10k-15k,1-3年,本科,苏州
数据分析专家,茉莉传媒,150-500人,广告营销,不需要融资,"股票期权,弹性工作,简单直接,岗位晋升",10k-15k,3-5年,本科,广州
数据分析,汇合,2000人以上,"企业服务,金融",不需要融资,"绩效奖金,带薪年假,管理规范,五险一金",8k-16k,不限,本科,深圳
数据分析师,蝉鸣,150-500人,"教育,移动互联网",A轮,"股票期权,绩效奖金,带薪年假,六险一金",8k-13k,3-5年,本科,西安
数据分析专家,睿琪软件,150-500人,数据服务,不需要融资,"专业红娘牵线,节日礼物,技能培训,岗位晋升",20k-30k,5-10年,本科,杭州
高级数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",8k-16k,3-5年,本科,武汉
国际化数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-40k,3-5年,本科,上海
大数据开发工程师,维恩贝特,500-2000人,电商,上市公司,"年底双薪,五险一金,通讯津贴,交通补助",15k-30k,3-5年,本科,北京
数据分析师,唯医骨科,150-500人,医疗健康,B轮,"带薪年假,垂直社区,绩效奖金,扁平管理",15k-30k,3-5年,本科,北京
数据分析师,互盾科技,150-500人,"移动互联网,电商",不需要融资,"绩效奖金,交通补助,年终红包,五险一金",15k-30k,1-3年,本科,上海
数据分析师,广州市果肉教育科技有限公司,500-2000人,"移动互联网,教育",不需要融资,"年底双薪,弹性工作,年度旅游,节日礼物",15k-30k,3-5年,本科,广州
大数据开发工程师,小红书,500-2000人,消费生活,D轮及以上,"年度旅游,节日礼物,专项奖金,带薪年假",25k-50k,3-5年,本科,北京
数据分析师,掌门1对1在线教育,2000人以上,"移动互联网,教育",D轮及以上,"技能培训,节日礼物,绩效奖金,岗位晋升",15k-25k,1-3年,本科,上海
数据分析师,掌门1对1在线教育,2000人以上,"移动互联网,教育",D轮及以上,"技能培训,节日礼物,绩效奖金,岗位晋升",15k-25k,1-3年,本科,上海
