downloadCount,displayName,gameId,gameType,introduction,publisherName,developer_name,shortDesc,current,change,score,cnt,bcnt,gameTag
714338,谁是首富,62287913,1,开启你的首富人生,安徽尚趣玩,安徽尚趣玩,开启你的首富人生,27,-4,6.6,205,227,"商业经营,放置挂机,养成,2D,写实,商业,模拟经营"
97284869,我的汤姆猫,62234508,1,领养你的专属汤姆猫宝宝,广州金科文化科技有限公司,金科文化,领养你的专属汤姆猫宝宝,28,3,8.4,1174,1250,"动物模拟,会说话,养成,竖屏,魔性,2.5D,卡通,宠物,模拟经营"
48498417,元气骑士,62230261,1,一个丧心病狂打怪兽的游戏，超爽,4399,4399,一个丧心病狂打怪兽的游戏，超爽,29,-1,9.1,6505,7184,"俯视角,Roguelike,魔性,2D,像素,地牢,弹幕,射击游戏"
38741261,奥特曼传奇英雄,62240425,1,正版授权，奥特曼怪兽大联盟,安徽乐堂互娱信息技术有限公司,安徽乐堂互娱,正版授权，奥特曼怪兽大联盟,30,-9,9.4,14473,16681,"格斗,卡牌,打击感,2.5D,卡通,怪物,动作冒险"
2163330,手心捕鱼,62291364,1,2020年全新捕鱼,金华市果果网络科技有限公司,手心团队,2020年全新捕鱼,31,1,8.4,144,184,"捕鱼,社交,2D,卡通,街机,休闲益智"
12498946,决斗火柴人,62287441,1,一款全新的动作闯关游戏,小米游戏,小米游戏,一款全新的动作闯关游戏,32,2,6.0,199,212,"冒险,横版,闯关,2D,线条,火柴人"
0,四海牧云,62291761,1,角色扮演江湖手游,广州联动网络科技有限公司,大蓝游戏天团,角色扮演江湖手游,33,2,,1,1,"MMORPG,2.5D,欧美,玄幻,角色扮演"
26321018,饥饿鲨：世界,62233430,1,成为饥饿鲨鱼 吃尽一片海,北京掌趣科技股份有限公司,,成为饥饿鲨鱼 吃尽一片海,34,7,8.2,1318,1459,"ARPG,养成,动物模拟,收集,PS,2.5D,卡通,角色扮演"
6645049,天天爱捕鱼,62271108,1,爆款捕鱼，全新BOSS来袭,海南飞盛网络科技有限公司,,爆款捕鱼，全新BOSS来袭,35,-9,8.8,806,1186,"捕鱼,2D,卡通,街机,休闲益智"
9197258,狂野飙车9：竞速传奇,62273845,1,拟真顶级豪车 主机级飙车体验,广州爱九游信息技术有限公司,广州爱九游,拟真顶级豪车 主机级飙车体验,36,12,7.5,2207,2524,"赛车,漂移,PVP,2.5D,高画质,体育竞速"
2108159,屠夫躲猫猫,62290514,1,屠夫躲猫猫是一款非常好玩的像素风躲猫猫游戏,深圳阡陌互动网络科技有限公司,,屠夫躲猫猫是一款非常好玩的像素风躲猫猫游戏,37,0,5.5,204,220,"冒险,潜行,闯关,魔性,2D,像素,动作冒险"
131406315,球球大作战,62231391,1,5亿年轻人都爱玩,巨人移动科技有限公司,巨人移动,5亿年轻人都爱玩,38,4,8.5,8823,9829,"io,冒险,躲避,PVP,社交,魔性,2D,卡通"
64914793,滚动的天空,62232191,1,爽快而虐心，我们等你来挑战,北京猎豹网络科技有限公司,,爽快而虐心，我们等你来挑战,39,4,8.6,1655,1792,"节奏,反应,躲避,手速,竖屏,2.5D,简约,音乐节奏"
33254918,疯狂动物园,62231526,1,让我们去好好大干一场吧,北京游道易网络文化有限公司,北京游道易,让我们去好好大干一场吧,40,0,8.0,2301,2500,"跑酷,养成,躲避,抖M虐心,竖屏,2.5D,像素,宠物,动作冒险"
